"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","23 Apr 2000","62.90","44.78","78.76","62","0.00","0.00","250.17","96"
"Alachua","24 Apr 2000","70.28","51.08","80.65","75","0.13","0.12","174.15","96"
"Alachua","25 Apr 2000","69.10","56.12","74.30","63","0.00","0.00","310.38","96"
"Alachua","26 Apr 2000","61.15","49.44","73.98","72","0.12","0.05","243.07","96"
"Alachua","27 Apr 2000","63.61","46.78","79.25","65","0.00","0.00","300.49","96"
"Alachua","28 Apr 2000","68.76","60.49","75.04","79","0.08","0.03","111.55","96"
"Alachua","29 Apr 2000","67.11","54.41","78.48","65","0.00","0.00","311.46","96"
"Alachua","30 Apr 2000","65.82","50.31","80.85","60","0.00","0.00","318.73","96"
"Alachua","1 May 2000","67.97","48.36","82.15","65","0.00","0.00","277.83","96"
"Alachua","2 May 2000","72.16","57.31","83.98","65","0.00","0.00","247.05","96"
"Alachua","3 May 2000","72.07","59.27","83.50","63","0.00","0.00","286.43","96"
"Alachua","4 May 2000","70.20","55.04","81.95","71","0.00","0.00","235.35","96"
"Alachua","5 May 2000","71.07","58.06","83.19","67","0.00","0.00","269.31","96"
"Alachua","6 May 2000","71.51","57.63","84.27","67","0.00","0.00","289.03","96"
"Alachua","7 May 2000","73.17","59.34","86.25","61","0.00","0.00","326.92","96"
"Alachua","8 May 2000","73.90","55.33","87.26","59","0.00","0.00","316.64","96"
"Alachua","9 May 2000","75.41","62.73","86.90","68","0.00","0.00","219.94","96"
"Alachua","10 May 2000","75.76","65.44","87.26","72","0.00","0.00","242.75","96"
"Alachua","11 May 2000","78.17","68.23","92.07","68","0.00","0.00","290.11","96"
"Alachua","12 May 2000","78.46","67.41","91.69","68","0.00","0.00","269.54","96"
"Alachua","13 May 2000","77.78","63.99","91.74","69","0.00","0.00","275.61","96"
"Alachua","14 May 2000","77.13","68.16","91.78","76","0.15","0.08","249.26","96"
"Alachua","15 May 2000","73.80","62.19","88.54","71","0.00","0.00","314.57","96"
"Alachua","16 May 2000","73.17","63.34","84.09","69","0.00","0.00","263.85","96"
"Alachua","17 May 2000","74.14","58.41","87.60","62","0.00","0.00","315.89","96"
"Alachua","18 May 2000","76.00","60.91","89.51","61","0.00","0.00","296.90","96"
"Alachua","19 May 2000","77.46","59.41","92.01","58","0.00","0.00","315.36","96"
"Alachua","20 May 2000","78.83","67.41","92.88","56","0.00","0.00","323.20","96"
"Alachua","21 May 2000","76.08","63.91","88.90","67","0.00","0.00","283.96","96"
"Alachua","22 May 2000","72.26","66.15","83.19","84","0.44","0.35","150.97","96"
"Alachua","23 May 2000","78.24","69.21","88.81","72","0.00","0.00","268.90","96"
"Alachua","24 May 2000","79.48","70.83","89.65","71","0.00","0.00","290.62","96"
